(...ndo) ...  DOVERE,(... ) dovendo
(passato ...ndo) DOVERE,(avendo) dovuto
(aggetivo) ...  DOVERE,(... ) dovente
(adesso) io STARE,(io) sto
(adesso) tu STARE,(tu) stai
(adesso) lei STARE,(lei) sta
(adesso) noi STARE,(noi) stiamo
(adesso) voi STARE,(voi) state
(adesso) loro STARE,(loro) stanno
(ieri) lei STARE,(lei) stava
(molto tempo fa) io STARE,(io) stetti
(molto tempo fa) tu STARE,(tu) stesti
(domani) loro STARE,(loro) staranno
(finito) voi STARE,(voi) siete stati
(perchè ieri) lei STARE,(lei) era stata
(passato) se lui STARE,se (lui) sarebbe stato
(...ndo) ...  STARE,(... ) stando
(passato ...ndo) STARE,(essendo) stato
(aggetivo) ...  STARE,(... ) stante
(per favore) ...  STARE,(... ) sta'/ai
(adesso) io DIRE,(io) dico
(adesso) tu DIRE,(tu) dici
(adesso) lei DIRE,(lei) dice
(adesso) noi DIRE,(noi) diciamo
(adesso) voi DIRE,(voi) dite
(adesso) loro DIRE,(loro) dicono
(ieri) noi DIRE,(noi) dicevamo
(molto tempo fa) io DIRE,(io) dissi
(molto tempo fa) noi DIRE,(noi) dicemmo
(domani) noi DIRE,(noi) diremo
(finito) noi DIRE,(noi) abbiamo detto
(perchè ieri) loro DIRE,(loro) avevano detto
(passato) se io DIRE,se (io) avrei detto
(...ndo) ...  DIRE,(... ) dicendo
(passato ...ndo) DIRE,(avendo) detto
(aggetivo) ...  DIRE,(... ) dicente
(per favore) ...  DIRE,(... ) di'
(adesso) io SAPERE,(io) so
(adesso) tu SAPERE,(tu) sai
(adesso) lei SAPERE,(lei) sa
(adesso) noi SAPERE,(noi) sappiamo
(adesso) voi SAPERE,(voi) sapete
(adesso) loro SAPERE,(loro) sanno
(ieri) noi SAPERE,(noi) sapevamo
(molto tempo fa) io SAPERE,(io) seppi
(molto tempo fa) lei SAPERE,(lei) seppe
(domani) tu SAPERE,(tu) saprai
(finito) tu SAPERE,(tu) hai saputo
(perchè ieri) io SAPERE,(io) avevo saputo
(passato) se voi SAPERE,se (voi) avreste saputo
(...ndo) ...  SAPERE,(... ) sapendo
(passato ...ndo) SAPERE,(avendo) saputo
(aggetivo) ...  SAPERE,(... ) sapiente
(per favore) ...  SAPERE,(... ) sappi
(adesso) io VEDERE,(io) vedo/eggo
(adesso) tu VEDERE,(tu) vedi
(adesso) lui VEDERE,(lui) vede
(adesso) noi VEDERE,(noi) vediamo
(adesso) voi VEDERE,(voi) vedete
(adesso) loro VEDERE,(loro) vedono/eggono
(ieri) loro VEDERE,(loro) vedevano
(molto tempo fa) io VEDERE,(io) vidi
(molto tempo fa) tu VEDERE,(tu) vedesti
(domani) voi VEDERE,(voi) vedrete
(finito) loro VEDERE,(loro) hanno visto/eduto
(perchè ieri) lei VEDERE,(lei) aveva visto/eduto
(passato) se tu VEDERE,se (tu) avresti visto/eduto
(...ndo) ...  VEDERE,(... ) vedendo
(passato ...ndo) VEDERE,(avendo) visto/eduto
(aggetivo) ...  VEDERE,(... ) vedente
(per favore) ...  VEDERE,(... ) vedi/egga
(adesso) io MANGIARE,(io) mangio
(adesso) tu MANGIARE,(tu) mangi
(adesso) lui MANGIARE,(lui) mangia
(adesso) noi MANGIARE,(noi) mangiamo
(adesso) voi MANGIARE,(voi) mangiate
(adesso) loro MANGIARE,(loro) mangiano
(ieri) voi MANGIARE,(voi) mangiavate
(molto tempo fa) io MANGIARE,(io) mangiai
(molto tempo fa) tu MANGIARE,(tu) mangiasti
(domani) loro MANGIARE,(loro) mangeranno
(finito) io MANGIARE,(io) ho mangiato
(perchè ieri) loro MANGIARE,(loro) avevano mangiato
(passato) se voi MANGIARE,se (voi) avreste mangiato
(...ndo) ...  MANGIARE,(... ) mangiando
(passato ...ndo) MANGIARE,(avendo) mangiato
(aggetivo) ...  MANGIARE,(... ) mangiante
(per favore) ...  MANGIARE,(... ) mangia
(adesso) io PARLARE,(io) parlo
(adesso) tu PARLARE,(tu) parli
(adesso) lei PARLARE,(lei) parla
(adesso) noi PARLARE,(noi) parliamo
(adesso) voi PARLARE,(voi) parlate
(adesso) loro PARLARE,(loro) parlano
(ieri) loro PARLARE,(loro) parlavano
(molto tempo fa) io PARLARE,(io) parlai
(molto tempo fa) tu PARLARE,(tu) parlasti
(domani) io PARLARE,(io) parlerò
(finito) lui PARLARE,(lui) ha parlato
(perchè ieri) lei PARLARE,(lei) aveva parlato
(passato) se io PARLARE,se (io) avrei parlato
(...ndo) ...  PARLARE,(... ) parlando
(passato ...ndo) PARLARE,(avendo) parlato
(aggetivo) ...  PARLARE,(... ) parlante
(per favore) ...  PARLARE,(... ) parla
(adesso) io USCIRE,(io) esco
(adesso) tu USCIRE,(tu) esci
(adesso) lui USCIRE,(lui) esce
(adesso) noi USCIRE,(noi) usciamo
(adesso) voi USCIRE,(voi) uscite
(adesso) loro USCIRE,(loro) escono
(ieri) loro USCIRE,(loro) uscivano
(molto tempo fa) io USCIRE,(io) uscii
(molto tempo fa) noi USCIRE,(noi) uscimmo
(domani) noi USCIRE,(noi) usciremo
(finito) tu USCIRE,(tu) sei uscito
