"Position","Mood:Tense","Subject","Infinitive","Front","Back"
"2","Congiuntivo:Presente","che io","ADDORMENTARSI","che io ADDORMENTARSI","(che io) mi addormenti"
"2","Congiuntivo:Presente","che lei","ADDORMENTARSI","che lei ADDORMENTARSI","(che lei) si addormenti"
"2","Congiuntivo:Passato","che io","ADDORMENTARSI","(perfetto) che io ADDORMENTARSI","(che io) mi sia addormentato"
"2","Congiuntivo:Passato","che loro","ADDORMENTARSI","(perfetto) che loro ADDORMENTARSI","(che loro) si siano addormentate"
"2","Condizionale:Presente","io","ADDORMENTARSI","se (presente) io ADDORMENTARSI","se (io) mi addormenterei"
"2","Condizionale:Presente","lui","ADDORMENTARSI","se (presente) lui ADDORMENTARSI","se (lui) si addormenterebbe"
"2","Condizionale:Passato","noi","ADDORMENTARSI","se (passato) noi ADDORMENTARSI","se (noi) ci saremmo addormentati"
"2","Gerundio:Presente","... ","ADDORMENTARSI","(...ndo) ...  ADDORMENTARSI","(... ) addormentandosi"
"2","Gerundio:Passato","essendosi","ADDORMENTARSI","(passato ...ndo) ADDORMENTARSI","(essendosi) addormentato"
"2","Participio:Presente","... ","ADDORMENTARSI","(aggetivo) ...  ADDORMENTARSI","(... ) addormentantesi"
"2","Imperativo:Presente","... ","ADDORMENTARSI","(per favore) ...  ADDORMENTARSI","(... ) addormentati"
"3","Indicativo:Presente","io","AIUTARE","(adesso) io AIUTARE","(io) aiuto"
"3","Indicativo:Presente","tu","AIUTARE","(adesso) tu AIUTARE","(tu) aiuti"
"3","Indicativo:Presente","lui","AIUTARE","(adesso) lui AIUTARE","(lui) aiuta"
"3","Indicativo:Presente","noi","AIUTARE","(adesso) noi AIUTARE","(noi) aiutiamo"
"3","Indicativo:Presente","voi","AIUTARE","(adesso) voi AIUTARE","(voi) aiutate"
"3","Indicativo:Presente","loro","AIUTARE","(adesso) loro AIUTARE","(loro) aiutano"
"3","Indicativo:Imperfetto","tu","AIUTARE","(ieri) tu AIUTARE","(tu) aiutavi"
"3","Indicativo:Passato:remoto","io","AIUTARE","(molto tempo fa) io AIUTARE","(io) aiutai"
"3","Indicativo:Passato:remoto","voi","AIUTARE","(molto tempo fa) voi AIUTARE","(voi) aiutaste"
"3","Indicativo:Futuro:semplice","noi","AIUTARE","(domani) noi AIUTARE","(noi) aiuteremo"
"3","Indicativo:Passato:prossimo","loro","AIUTARE","(perfetto) loro AIUTARE","(loro) hanno aiutato"
"3","Indicativo:Trapassato:prossimo","noi","AIUTARE","(perchè ieri) noi AIUTARE","(noi) avevamo aiutato"
"3","Congiuntivo:Presente","che io","AIUTARE","che io AIUTARE","(che io) aiuti"
"3","Congiuntivo:Presente","che lei","AIUTARE","che lei AIUTARE","(che lei) aiuti"
"3","Congiuntivo:Passato","che io","AIUTARE","(perfetto) che io AIUTARE","(che io) abbia aiutato"
"3","Congiuntivo:Passato","che loro","AIUTARE","(perfetto) che loro AIUTARE","(che loro) abbiano aiutato"
"3","Condizionale:Presente","io","AIUTARE","se (presente) io AIUTARE","se (io) aiuterei"
"3","Condizionale:Presente","voi","AIUTARE","se (presente) voi AIUTARE","se (voi) aiutereste"
"3","Condizionale:Passato","voi","AIUTARE","se (passato) voi AIUTARE","se (voi) avreste aiutato"
"3","Gerundio:Presente","... ","AIUTARE","(...ndo) ...  AIUTARE","(... ) aiutando"
"3","Gerundio:Passato","avendo","AIUTARE","(passato ...ndo) AIUTARE","(avendo) aiutato"
"3","Participio:Presente","... ","AIUTARE","(aggetivo) ...  AIUTARE","(... ) aiutante"
"3","Imperativo:Presente","... ","AIUTARE","(per favore) ...  AIUTARE","(... ) aiuta"
"4","Indicativo:Presente","io","ALZARSI","(adesso) io ALZARSI","(io) mi alzo"
"4","Indicativo:Presente","tu","ALZARSI","(adesso) tu ALZARSI","(tu) ti alzi"
"4","Indicativo:Presente","lei","ALZARSI","(adesso) lei ALZARSI","(lei) si alza"
"4","Indicativo:Presente","noi","ALZARSI","(adesso) noi ALZARSI","(noi) ci alziamo"
"4","Indicativo:Presente","voi","ALZARSI","(adesso) voi ALZARSI","(voi) vi alzate"
"4","Indicativo:Presente","loro","ALZARSI","(adesso) loro ALZARSI","(loro) si alzano"
"4","Indicativo:Imperfetto","lui","ALZARSI","(ieri) lui ALZARSI","(lui) si alzava"
"4","Indicativo:Passato:remoto","io","ALZARSI","(molto tempo fa) io ALZARSI","(io) mi alzai"
"4","Indicativo:Passato:remoto","loro","ALZARSI","(molto tempo fa) loro ALZARSI","(loro) si alzarono"
"4","Indicativo:Futuro:semplice","noi","ALZARSI","(domani) noi ALZARSI","(noi) ci alzeremo"
"4","Indicativo:Passato:prossimo","voi","ALZARSI","(perfetto) voi ALZARSI","(voi) vi siete alzati"
"4","Indicativo:Trapassato:prossimo","lui","ALZARSI","(perchè ieri) lui ALZARSI","(lui) si era alzato"
"4","Congiuntivo:Presente","che io","ALZARSI","che io ALZARSI","(che io) mi alzi"
"4","Congiuntivo:Presente","che lei","ALZARSI","che lei ALZARSI","(che lei) si alzi"
