"Position","POS","Verb","Form","Front","Back"
"121","2","mangiare","Condizionale Passato","lui mangia -> Condizionale Passato","lui avrebbe mangiato"
"121","3","mangiare","Condizionale Passato","lei mangia -> Condizionale Passato","lei avrebbe mangiato"
"121","4","mangiare","Condizionale Passato","noi mangiamo -> Condizionale Passato","noi avremmo mangiato"
"121","5","mangiare","Condizionale Passato","voi mangiate -> Condizionale Passato","voi avreste mangiato"
"121","6","mangiare","Condizionale Passato","loro(m) mangiano -> Condizionale Passato","loro(m) avrebbero mangiato"
"121","7","mangiare","Condizionale Passato","loro(f) mangiano -> Condizionale Passato","loro(f) avrebbero mangiato"
"122","0","mantenere","Presente","io mantengo -> Presente","io mantengo"
"122","1","mantenere","Presente","tu mantieni -> Presente","tu mantieni"
"122","2","mantenere","Presente","lui mantiene -> Presente","lui mantiene"
"122","3","mantenere","Presente","lei mantiene -> Presente","lei mantiene"
"122","4","mantenere","Presente","noi manteniamo -> Presente","noi manteniamo"
"122","5","mantenere","Presente","voi mantenete -> Presente","voi mantenete"
"122","6","mantenere","Presente","loro(m) mantengono -> Presente","loro(m) mantengono"
"122","7","mantenere","Presente","loro(f) mantengono -> Presente","loro(f) mantengono"
"122","0","mantenere","Imperfetto","io mantengo -> Imperfetto","io mantenevo"
"122","1","mantenere","Imperfetto","tu mantieni -> Imperfetto","tu mantenevi"
"122","2","mantenere","Imperfetto","lui mantiene -> Imperfetto","lui manteneva"
"122","3","mantenere","Imperfetto","lei mantiene -> Imperfetto","lei manteneva"
"122","4","mantenere","Imperfetto","noi manteniamo -> Imperfetto","noi mantenevamo"
"122","5","mantenere","Imperfetto","voi mantenete -> Imperfetto","voi mantenevate"
"122","6","mantenere","Imperfetto","loro(m) mantengono -> Imperfetto","loro(m) mantenevano"
"122","7","mantenere","Imperfetto","loro(f) mantengono -> Imperfetto","loro(f) mantenevano"
"122","0","mantenere","Passato Remoto","io mantengo -> Passato Remoto","io mantenni"
"122","1","mantenere","Passato Remoto","tu mantieni -> Passato Remoto","tu mantenesti"
"122","2","mantenere","Passato Remoto","lui mantiene -> Passato Remoto","lui mantenne"
"122","3","mantenere","Passato Remoto","lei mantiene -> Passato Remoto","lei mantenne"
"122","4","mantenere","Passato Remoto","noi manteniamo -> Passato Remoto","noi mantenemmo"
"122","5","mantenere","Passato Remoto","voi mantenete -> Passato Remoto","voi manteneste"
"122","6","mantenere","Passato Remoto","loro(m) mantengono -> Passato Remoto","loro(m) mantennero"
"122","7","mantenere","Passato Remoto","loro(f) mantengono -> Passato Remoto","loro(f) mantennero"
"122","0","mantenere","Futuro","io mantengo -> Futuro","io manterrò"
"122","1","mantenere","Futuro","tu mantieni -> Futuro","tu manterrai"
"122","2","mantenere","Futuro","lui mantiene -> Futuro","lui manterrà"
"122","3","mantenere","Futuro","lei mantiene -> Futuro","lei manterrà"
"122","4","mantenere","Futuro","noi manteniamo -> Futuro","noi manterremo"
"122","5","mantenere","Futuro","voi mantenete -> Futuro","voi manterrete"
"122","6","mantenere","Futuro","loro(m) mantengono -> Futuro","loro(m) manterranno"
"122","7","mantenere","Futuro","loro(f) mantengono -> Futuro","loro(f) manterranno"
"122","0","mantenere","Perfetto","io mantengo -> Perfetto","io ho mantenuto"
"122","1","mantenere","Perfetto","tu mantieni -> Perfetto","tu hai mantenuto"
"122","2","mantenere","Perfetto","lui mantiene -> Perfetto","lui ha mantenuto"
"122","3","mantenere","Perfetto","lei mantiene -> Perfetto","lei ha mantenuto"
"122","4","mantenere","Perfetto","noi manteniamo -> Perfetto","noi abbiamo mantenuto"
"122","5","mantenere","Perfetto","voi mantenete -> Perfetto","voi avete mantenuto"
"122","6","mantenere","Perfetto","loro(m) mantengono -> Perfetto","loro(m) hanno mantenuto"
"122","7","mantenere","Perfetto","loro(f) mantengono -> Perfetto","loro(f) hanno mantenuto"
"122","0","mantenere","Trapassato Prossimo","io mantengo -> Trapassato Prossimo","io avevo mantenuto"
"122","1","mantenere","Trapassato Prossimo","tu mantieni -> Trapassato Prossimo","tu avevi mantenuto"
"122","2","mantenere","Trapassato Prossimo","lui mantiene -> Trapassato Prossimo","lui aveva mantenuto"
"122","3","mantenere","Trapassato Prossimo","lei mantiene -> Trapassato Prossimo","lei aveva mantenuto"
"122","4","mantenere","Trapassato Prossimo","noi manteniamo -> Trapassato Prossimo","noi avevamo mantenuto"
"122","5","mantenere","Trapassato Prossimo","voi mantenete -> Trapassato Prossimo","voi avevate mantenuto"
"122","6","mantenere","Trapassato Prossimo","loro(m) mantengono -> Trapassato Prossimo","loro(m) avevano mantenuto"
"122","7","mantenere","Trapassato Prossimo","loro(f) mantengono -> Trapassato Prossimo","loro(f) avevano mantenuto"
"122","0","mantenere","Futuro Anteriore","io mantengo -> Futuro Anteriore","io avrò mantenuto"
"122","1","mantenere","Futuro Anteriore","tu mantieni -> Futuro Anteriore","tu avrai mantenuto"
"122","2","mantenere","Futuro Anteriore","lui mantiene -> Futuro Anteriore","lui avrà mantenuto"
"122","3","mantenere","Futuro Anteriore","lei mantiene -> Futuro Anteriore","lei avrà mantenuto"
"122","4","mantenere","Futuro Anteriore","noi manteniamo -> Futuro Anteriore","noi avremo mantenuto"
"122","5","mantenere","Futuro Anteriore","voi mantenete -> Futuro Anteriore","voi avrete mantenuto"
"122","6","mantenere","Futuro Anteriore","loro(m) mantengono -> Futuro Anteriore","loro(m) avranno mantenuto"
"122","7","mantenere","Futuro Anteriore","loro(f) mantengono -> Futuro Anteriore","loro(f) avranno mantenuto"
"122","0","mantenere","Congiuntivo Presente","io mantengo -> Congiuntivo Presente","che io mantenga"
"122","1","mantenere","Congiuntivo Presente","tu mantieni -> Congiuntivo Presente","che tu mantenga"
"122","2","mantenere","Congiuntivo Presente","lui mantiene -> Congiuntivo Presente","che lui mantenga"
"122","3","mantenere","Congiuntivo Presente","lei mantiene -> Congiuntivo Presente","che lei mantenga"
"122","4","mantenere","Congiuntivo Presente","noi manteniamo -> Congiuntivo Presente","che noi manteniamo"
"122","5","mantenere","Congiuntivo Presente","voi mantenete -> Congiuntivo Presente","che voi manteniate"
"122","6","mantenere","Congiuntivo Presente","loro(m) mantengono -> Congiuntivo Presente","che loro(m) mantengano"
"122","7","mantenere","Congiuntivo Presente","loro(f) mantengono -> Congiuntivo Presente","che loro(f) mantengano"
"122","0","mantenere","Congiuntivo Perfetto","io mantengo -> Congiuntivo Perfetto","che io abbia mantenuto"
"122","1","mantenere","Congiuntivo Perfetto","tu mantieni -> Congiuntivo Perfetto","che tu abbia mantenuto"
"122","2","mantenere","Congiuntivo Perfetto","lui mantiene -> Congiuntivo Perfetto","che lui abbia mantenuto"
"122","3","mantenere","Congiuntivo Perfetto","lei mantiene -> Congiuntivo Perfetto","che lei abbia mantenuto"
"122","4","mantenere","Congiuntivo Perfetto","noi manteniamo -> Congiuntivo Perfetto","che noi abbiamo mantenuto"
"122","5","mantenere","Congiuntivo Perfetto","voi mantenete -> Congiuntivo Perfetto","che voi abbiate mantenuto"
"122","6","mantenere","Congiuntivo Perfetto","loro(m) mantengono -> Congiuntivo Perfetto","che loro(m) abbiano mantenuto"
"122","7","mantenere","Congiuntivo Perfetto","loro(f) mantengono -> Congiuntivo Perfetto","che loro(f) abbiano mantenuto"
"122","0","mantenere","Congiuntivo Trapassato","io mantengo -> Congiuntivo Trapassato","che io avessi mantenuto"
"122","1","mantenere","Congiuntivo Trapassato","tu mantieni -> Congiuntivo Trapassato","che tu avessi mantenuto"
"122","2","mantenere","Congiuntivo Trapassato","lui mantiene -> Congiuntivo Trapassato","che lui avesse mantenuto"
"122","3","mantenere","Congiuntivo Trapassato","lei mantiene -> Congiuntivo Trapassato","che lei avesse mantenuto"
"122","4","mantenere","Congiuntivo Trapassato","noi manteniamo -> Congiuntivo Trapassato","che noi avessimo mantenuto"
"122","5","mantenere","Congiuntivo Trapassato","voi mantenete -> Congiuntivo Trapassato","che voi aveste mantenuto"
"122","6","mantenere","Congiuntivo Trapassato","loro(m) mantengono -> Congiuntivo Trapassato","che loro(m) avessero mantenuto"
"122","7","mantenere","Congiuntivo Trapassato","loro(f) mantengono -> Congiuntivo Trapassato","che loro(f) avessero mantenuto"
"122","0","mantenere","Congiuntivo Imperfetto","io mantengo -> Congiuntivo Imperfetto","che io mantenessi"
"122","1","mantenere","Congiuntivo Imperfetto","tu mantieni -> Congiuntivo Imperfetto","che tu mantenessi"
"122","2","mantenere","Congiuntivo Imperfetto","lui mantiene -> Congiuntivo Imperfetto","che lui mantenesse"
"122","3","mantenere","Congiuntivo Imperfetto","lei mantiene -> Congiuntivo Imperfetto","che lei mantenesse"
"122","4","mantenere","Congiuntivo Imperfetto","noi manteniamo -> Congiuntivo Imperfetto","che noi mantenessimo"
"122","5","mantenere","Congiuntivo Imperfetto","voi mantenete -> Congiuntivo Imperfetto","che voi manteneste"
"122","6","mantenere","Congiuntivo Imperfetto","loro(m) mantengono -> Congiuntivo Imperfetto","che loro(m) mantenessero"
"122","7","mantenere","Congiuntivo Imperfetto","loro(f) mantengono -> Congiuntivo Imperfetto","che loro(f) mantenessero"
"122","0","mantenere","Condizionale Presente","io mantengo -> Condizionale Presente","io manterrei"
"122","1","mantenere","Condizionale Presente","tu mantieni -> Condizionale Presente","tu manterresti"
"122","2","mantenere","Condizionale Presente","lui mantiene -> Condizionale Presente","lui manterrebbe"
"122","3","mantenere","Condizionale Presente","lei mantiene -> Condizionale Presente","lei manterrebbe"
"122","4","mantenere","Condizionale Presente","noi manteniamo -> Condizionale Presente","noi manterremmo"
"122","5","mantenere","Condizionale Presente","voi mantenete -> Condizionale Presente","voi manterreste"
"122","6","mantenere","Condizionale Presente","loro(m) mantengono -> Condizionale Presente","loro(m) manterrebbero"
"122","7","mantenere","Condizionale Presente","loro(f) mantengono -> Condizionale Presente","loro(f) manterrebbero"
"122","0","mantenere","Condizionale Passato","io mantengo -> Condizionale Passato","io avrei mantenuto"
"122","1","mantenere","Condizionale Passato","tu mantieni -> Condizionale Passato","tu avresti mantenuto"
"122","2","mantenere","Condizionale Passato","lui mantiene -> Condizionale Passato","lui avrebbe mantenuto"
"122","3","mantenere","Condizionale Passato","lei mantiene -> Condizionale Passato","lei avrebbe mantenuto"
"122","4","mantenere","Condizionale Passato","noi manteniamo -> Condizionale Passato","noi avremmo mantenuto"
"122","5","mantenere","Condizionale Passato","voi mantenete -> Condizionale Passato","voi avreste mantenuto"
"122","6","mantenere","Condizionale Passato","loro(m) mantengono -> Condizionale Passato","loro(m) avrebbero mantenuto"
"122","7","mantenere","Condizionale Passato","loro(f) mantengono -> Condizionale Passato","loro(f) avrebbero mantenuto"
